,,,,,,,,,,,            Production            ,,,,,,,             Inventory             ,,,,,,,                                              Cards                                              ,,,,,,                        Tiles on Mars                        ,,,,,,   Terraforming    ,,,,,                                                           Other effects                                                           ,,,,,,,,
C03,Atmo Collectors,5,0 Immediate,,501,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,floater,any,,,,,,,0,,,,,0,,,,,,,,Add 2 floaters to ANY card.,#REF!
C03,Atmo Collectors,5,2 Action,A,502,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to this card.,#REF!
C03,Atmo Collectors,5,2 Action,B,503,6 Colonies,,,,,,,,,,,,,,2,,,,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to gain 2 titanium.,#REF!
C03,Atmo Collectors,5,2 Action,C,504,6 Colonies,,,,,,,,,,,,,,,,3,,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to gain 3 energy.,#REF!
C03,Atmo Collectors,5,2 Action,D,505,6 Colonies,,,,,,,,,,,,,,,,,4,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to gain 4 heat.,#REF!
C04,Community Services,1,0 Immediate,,506,6 Colonies,,,tagless cards in play,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 1 step per CARD WITH NO TAGS, including this.",#REF!
C05,Conscription,1,7 Effect/Temporary,,507,6 Colonies,next card this gen,,,←,,,,,,,,16,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The next card you play this generation costs 16 M€ less.,#REF!
C06,Corona Extractor,1,0 Immediate,,508,6 Colonies,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 4 steps.,#REF!
C07,Cryo-Sleep,3,5 Effect/Discount,A,509,6 Colonies,Trade std action,,,←,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Trade standard action costs 1 resource less.,#REF!
C07,Cryo-Sleep,3,5 Effect/Discount,B,510,6 Colonies,Trade std action,,,←,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Trade standard action costs 1 resource less.,#REF!
C07,Cryo-Sleep,3,5 Effect/Discount,C,511,6 Colonies,Trade std action,,,←,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Trade standard action costs 1 resource less.,#REF!
C08,Earth Elevator,1,0 Immediate,,512,6 Colonies,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 3 steps.,#REF!
C09,Ecology Research,2,0 Immediate,,513,6 Colonies,,,colonies,←,,,,N,,,,,,,,,,,,,1,animal,any,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step for each colony you own. Add 1 animal to ANOTHER card,#REF!
C09,Ecology Research,2,0 Immediate,,514,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,microbe,any,,,,,,,0,,,,,0,,,,,,,,and 2 microbes to ANOTHER card.,#REF!
C10,Floater Leasing,1,0 Immediate,,515,6 Colonies,,,sets of 3 floaters (combined),←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step per 3 floaters you have.,#REF!
C11,Floater Prototypes,1,0 Immediate,,516,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,floater,any,,,,,,,0,,,,,0,,,,,,,,Add 2 floaters to ANOTHER card.,#REF!
C12,Floater Technology,1,2 Action,,517,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,floater,any,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to ANOTHER card.,#REF!
C13,Galilean Waystation,1,0 Immediate,,518,6 Colonies,,,ANY Jovian tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step per ANY Jovian tag .,#REF!
C14,Heavy Taxation,1,0 Immediate,,519,6 Colonies,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 2 steps, and gain 4 M€.",#REF!
C15,Ice Moon Colony,1,0 Immediate,,520,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,Place 1 colony and 1 ocean tile.,#REF!
C16,Impactor Swarm,2,0 Immediate,,521,6 Colonies,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 12 heat.,#REF!
C16,Impactor Swarm,2,1 Immediate/Attack,,522,6 Colonies,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 2 plants from any player.,#REF!
C17,Interplanetary Colony Ship,1,0 Immediate,,523,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,,,,,,Place a colony.,#REF!
C18,Jovian Lanterns,2,0 Immediate,,524,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,floater,any,,,,,,,0,,,,1,1,,,,,,,,Increase your TR 1 step. Add 2 floaters to ANY card.,#REF!
C18,Jovian Lanterns,2,2 Action,,525,6 Colonies,,,,,,,,,,,,,,-1,,,,,,,2,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 titanium to add 2 floaters here.,#REF!
C19,Jupiter Floating Station,2,2 Action,A,526,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,floater,Jovian,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to a JOVIAN CARD.,#REF!
C19,Jupiter Floating Station,2,2 Action,B,527,6 Colonies,,,"floaters here, MAX 4",←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ per floater here (MAX 4).,#REF!
C20,Luna Governor,1,0 Immediate,,528,6 Colonies,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps.,#REF!
C21,Lunar Exports,2,0 Immediate,A,529,6 Colonies,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 2 steps.,#REF!
C21,Lunar Exports,2,0 Immediate,B,530,6 Colonies,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your increase your M€ production 5 steps.,#REF!
C22,Lunar Mining,1,0 Immediate,,531,6 Colonies,,,sets of 2 Earth tags,←,,,N,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step for every 2 Earth tags you. have.,#REF!
C23,Market Manipulation,1,0 Immediate,,532,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,+1 and -1 to diferent colony tile tracks,,INCREASE ONE COLONY TILE TRACK 1 STEP. DECREASE ANOTHER COLONY TILE TRACK 1 STEP,#REF!
C24,Martian Zoo,2,2 Action,,533,6 Colonies,,,animals here,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ per animal here.,#REF!
C24,Martian Zoo,2,4 Effect/Trigger,,534,6 Colonies,Earth tag,,,←,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,"When you play an Earth tag, add an animal here.",#REF!
C25,Mining Colony,1,0 Immediate,,535,6 Colonies,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,,,,,,Increase your titanium production 1 step. Place a colony.,#REF!
C26,Minority Refuge,1,0 Immediate,,536,6 Colonies,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,,,,,,Decrease your M€ production 2 steps. Place a colony.,#REF!
C27,Molecular Printing,1,0 Immediate,,537,6 Colonies,,,ANY cities + ANY colonies,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ per ANY colony or city tile in play.,#REF!
C28,Nitrogen From Titan,1,0 Immediate,,538,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,floater,Jovian,,,,,,,0,,,,2,2,,,,,,,,Raise your TR 2 steps. Add 2 floaters to a JOVIAN CARD.,#REF!
C29,Pioneer Settlement,1,0 Immediate,,539,6 Colonies,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,,,,,,Decrease your M€ production 2 steps. Place a colony.,#REF!
C30,Productive Outpost,1,0 Immediate,,540,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,gain your colony bonuses,,Gain all your colony bonuses.,#REF!
C31,Quantum Communications,1,0 Immediate,,541,6 Colonies,,,ANY colonies,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step per ANY colony.,#REF!
C32,Red Spot Observatory,3,0 Immediate,,542,6 Colonies,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
C32,Red Spot Observatory,3,2 Action,A,543,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to this card.,#REF!
C32,Red Spot Observatory,3,2 Action,B,544,6 Colonies,,,,,,,,,,,,,,,,,,,1,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to draw a card.,#REF!
C33,Refugee Camps,1,2 Action,,545,6 Colonies,,,,,-1,,,,,,,,,,,,,,,,1,camp,here,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step to add a camp resource to this card.,#REF!
C34,Research Colony,1,0 Immediate,,546,6 Colonies,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,1,,,,can place colony where you already have one,,Place a colony. MAY BE PLACED WHERE YOU ALREADY HAVE A COLONY. Draw 2 cards.,#REF!
C35,Rim Freighters,3,5 Effect/Discount,A,547,6 Colonies,Trade std action,,,←,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Trade standard action costs 1 resource less.,#REF!
C35,Rim Freighters,3,5 Effect/Discount,B,548,6 Colonies,Trade std action,,,←,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Trade standard action costs 1 resource less.,#REF!
C35,Rim Freighters,3,5 Effect/Discount,C,549,6 Colonies,Trade std action,,,←,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Trade standard action costs 1 resource less.,#REF!
C36,Sky Docks,2,0 Immediate,,550,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1,,,,,Gain 1 Trade Fleet.,#REF!
C36,Sky Docks,2,5 Effect/Discount,,551,6 Colonies,play card,,,←,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 1 M€ less.,#REF!
C37,Solar Probe,1,0 Immediate,,552,6 Colonies,,,sets of 3 science tags,←,,,,,,,,,,,,,,,N,,,,,,,,,,,0,,,,,0,,,,,,,,"Draw 1 card for every 3 science tags you have, including this.",#REF!
C38,Solar Reflectors,1,0 Immediate,,553,6 Colonies,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 5 steps.,#REF!
C39,Space Port,1,0 Immediate,,554,6 Colonies,,,,,4,,,,-1,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,1,,,,,"Gain 1 Trade Fleet. Place a city tile. Decrease your energy production 1 step, and increase your M€ production 4 steps.",#REF!
C40,Space Port Colony,1,0 Immediate,,555,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,1,,,can place colony where you already have one,,Place a colony. MAY BE PLACED ON A COLONY TILE WHERE YOU ALREADY HAVE A COLONY. Gain 1 Trade Fleet.,#REF!
C41,Spin-Off Department,2,0 Immediate,,556,6 Colonies,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps.,#REF!
C41,Spin-Off Department,2,4 Effect/Trigger,,557,6 Colonies,play card,original cost >= 20,,←,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a card with an original cost of 20 M€ or more, draw a card.",#REF!
C42,Sub-Zero Salt Fish,2,1 Immediate/Attack,,558,6 Colonies,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's plant production 1 step.,#REF!
C42,Sub-Zero Salt Fish,2,2 Action,,559,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
C43,Titan Air-Scrapping,2,2 Action,A,560,6 Colonies,,,,,,,,,,,,,,-1,,,,,,,2,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 titanium to add 2 floaters to this card.,#REF!
C43,Titan Air-Scrapping,2,2 Action,B,561,6 Colonies,,,,,,,,,,,,,,,,,,,,,-2,floater,here,,,,,,,0,,,,1,1,,,,,,,,Spend 2 floaters here to increase your TR 1 step.,#REF!
C44,Titan Floating Launch-Pad,3,0 Immediate,,562,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,floater,Jovian,,,,,,,0,,,,,0,,,,,,,,Add 2 floaters to ANY JOVIAN CARD.,#REF!
C44,Titan Floating Launch-Pad,3,2 Action,A,563,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,floater,Jovian,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to a JOVIAN CARD.,#REF!
C44,Titan Floating Launch-Pad,3,2 Action,B,564,6 Colonies,,requires available trade fleet,,←,,,,,,,,,,,,,,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,trade,,Spend 1 floater here to trade for free.,#REF!
C45,Titan Shuttles,2,2 Action,A,565,6 Colonies,,,,,,,,,,,,,,,,,,,,,2,floater,Jovian,,,,,,,0,,,,,0,,,,,,,,Add 2 floaters to a JOVIAN CARD.,#REF!
C45,Titan Shuttles,2,2 Action,B,566,6 Colonies,,,any number > 0,←,,,,,,,,,,N,,,,,,,-N,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend one or more floaters here to gain 1 titanium each.,#REF!
C46,Trade Envoys,1,4 Effect/Trigger,,567,6 Colonies,trade,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,+1 to that colony tile track first (optional),,"When you trade, you may first increase that Colony Tile track 1 step.",#REF!
C47,Trading Colony,2,0 Immediate,,568,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,,,,,,Place a colony.,#REF!
C47,Trading Colony,2,4 Effect/Trigger,,569,6 Colonies,trade,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,+1 to that colony tile track first (optional),,"When you trade, you may first increase that Colony Tile track 1 step.",#REF!
C48,Urban Decomposers,1,0 Immediate,,570,6 Colonies,,,,,,,,1,,,,,,,,,,,,,2,microbe,any,,,,,,,0,,,,,0,,,,,,,,"Increase your plant production 1 step, and add 2 microbes to ANOTHER card.",#REF!
C49,Warp Drive,1,5 Effect/Discount,,571,6 Colonies,space tag,,,←,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 4 M€ less per space tag it has.,#REF!
T01,Aerial Lenses,2,0 Immediate,,572,7 Turmoil,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 2 steps.,#REF!
T01,Aerial Lenses,2,1 Immediate/Attack,,573,7 Turmoil,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 2 plants from any player.,#REF!
T02,Banned Delegate,1,1 Immediate/Attack,,574,7 Turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,1,,,,Remove any NON-LEADER delegate.,#REF!
T03,Cultural Metropolis,1,0 Immediate,,575,7 Turmoil,,delegates to same party,,←,3,,,,-1,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,2,,,,Decrease your energy production 1 step and increase your M€ production 3 steps. Place a city tile. Place 2 delegates in 1 party.,#REF!
T04,Diaspora Movement,1,0 Immediate,,576,7 Turmoil,,,ANY Jovian tags,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ per ANY Jovian tag.,#REF!
T05,Event Analysts,1,8 Effect/Ambient,,577,7 Turmoil,ambient,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,+1 influence,,You have influence +1.,#REF!
T06,GMO Contract,1,4 Effect/Trigger,,578,7 Turmoil,P/M/A tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a plant, microbe, or animal tag, gain 2 M€.",#REF!
T07,Martian Media Center,2,0 Immediate,,579,7 Turmoil,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps.,#REF!
T07,Martian Media Center,2,2 Action,,580,7 Turmoil,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,1,,,,Spend 3 M€ to add a delegate to any party.,#REF!
T08,Parliament Hall,1,0 Immediate,,581,7 Turmoil,,,sets of 3 building tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase M€ production 1 step for every 3 building tags you have, including this.",#REF!
T09,PR Office,1,0 Immediate,,582,7 Turmoil,,,Earth tags,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,"Gain 1 TR. Gain 1 M€ for each Earth tag you have, including this.",#REF!
T11,Recruitment,1,0 Immediate,,583,7 Turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,1,,exchange for neutral delegate in same party,,Exchange one NEUTRAL NON-LEADER delegate with one of your own from the reserve.,#REF!
T12,Red Tourism Wave,1,0 Immediate,,584,7 Turmoil,,,empty areas adjacent to your tiles,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ for each EMPTY AREA ADJACENT TO YOUR TILES.,#REF!
T13,Sponsored Mohole,1,0 Immediate,,585,7 Turmoil,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 2 steps.,#REF!
T14,Supported Research,1,0 Immediate,,586,7 Turmoil,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
T15,Wildlife Dome,1,0 Immediate,,587,7 Turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,Place a greenery tile and raise oxygen 1 step.,#REF!
T16,Vote Of No Confidence,1,0 Immediate,,588,7 Turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,1,,exchange for neutral chairperson,,Remove the NEUTRAL Chairman and move your own delegate (from the reserve) there instead. Gain 1 TR.,#REF!
X01,Dusk Laser Mining,1,0 Immediate,,589,X3 Pro/turmoil,,,,,,,1,,-1,,,,,4,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Decrease your energy production 1 step, and increase your titanium production 1 step. Gain 4 titanium.",#REF!
X02,Project Inspection,1,0 Immediate,,590,X3 Pro/turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,reuse a card action,,USE A CARD ACTION THAT HAS ALREADY BEEN USED THIS GENERATION,#REF!
X03,Energy Market,2,2 Action,A,591,X3 Pro/turmoil,,,any number > 0,←,,,,,,,,-2N,,,,N,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 2X M€ to gain X energy.,#REF!
X03,Energy Market,2,2 Action,B,592,X3 Pro/turmoil,,,,,,,,,-1,,,8,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step to gain 8 M€.,#REF!
X04,Hi-Tech Lab,1,2 Action,,593,X3 Pro/turmoil,,,any number > 0,←,,,,,,,,,,,,-N,,,1,of N,,,,,,,,,,0,,,,,0,,,,,,,,Spend one or more energy to draw the same number of cards. TAKE 1 INTO HAND AND DISCARD THE REST.,#REF!
X05,Interplanetary Trade,1,0 Immediate,,594,X3 Pro/turmoil,,,tag types in play,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 1 step per different tag you have in play, including this.",#REF!
X06,Law Suit,1,1 Immediate/Attack,,595,X3 Pro/turmoil,,made a resource or prod. attack on you this gen.,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,gain the stolen money; move this card to victim's event pile,,Steal 3 M€ from a player that REMOVED YOUR RESOURCES OR DECREASED YOUR PRODUCTION this generation. Place this card face down in THAT PLAYER'S EVENT PILE.,#REF!
X07,Mercurian Alloys,1,6 Effect/Resource,,596,X3 Pro/turmoil,payment that accepts titanium,,titanium spent,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Your titanium resources are worth 1 M€ extra.,#REF!
X08,Orbital Cleanup,2,0 Immediate,,597,X3 Pro/turmoil,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 2 steps.,#REF!
X08,Orbital Cleanup,2,2 Action,,598,X3 Pro/turmoil,,,science tags,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ per science tag you have.,#REF!
X09,Political Alliance,1,0 Immediate,,599,X3 Pro/turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Gain 1 TR.,#REF!
X10,Rego Plastics,1,6 Effect/Resource,,600,X3 Pro/turmoil,payment that accepts steel,,steel spent,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Your steel resources are worth 1 M€ extra.,#REF!
X11,Saturn Surfing,2,0 Immediate,,601,X3 Pro/turmoil,,,Earth tags,←,,,,,,,,,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,"Add 1 floater here for every Earth tag you have, including this.",#REF!
X11,Saturn Surfing,2,2 Action,,602,X3 Pro/turmoil,,,"floaters here, plus 1",←,,,,,,,,N,,,,,,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,"Spend 1 floater here to gain 1 M€ per floater here, INCLUDING THE PAID FLOATER (max 5).",#REF!
X12,Stanford Torus,1,0 Immediate,,603,X3 Pro/turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,"Place a city tile IN SPACE, outside and separate from the planet.",#REF!
X13,Advertising,1,4 Effect/Trigger,,604,X4 Pro/bigbox,play card,original cost >= 20,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a card with an original cost of 20 M€ or more, increase your M€ production 1 step.",#REF!
X14,Asteroid Deflection System,3,0 Immediate,,605,X4 Pro/bigbox,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step.,#REF!
X14,Asteroid Deflection System,3,2 Action,,606,X4 Pro/bigbox,,IF you flip a space tag,,←,,,,,,,,,,,,,,,,,1,asteroid,here,,,,,,,0,,,,,0,,,,,,,,"REVEAL AND DISCARD the top card of the deck. If it has a space tag, add an asteroid here.",#REF!
X14,Asteroid Deflection System,3,8 Effect/Ambient,,607,X4 Pro/bigbox,ambient,,,←,,,,,,,,,,,,,,,,,1,asteroid,here,,,,,,,0,,,,,0,,,,,,opponents can't remove plants,,Opponents may not remove your plants.,#REF!
X15,Asteroid Hollowing,1,2 Action,,608,X4 Pro/bigbox,,,,,1,,,,,,,,,-1,,,,,,,1,asteroid,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 titanium to add 1 asteroid here and increase M€ production 1 step.,#REF!
X16,Comet Aiming,2,2 Action,A,609,X4 Pro/bigbox,,,,,,,,,,,,,,-1,,,,,,,1,asteroid,any,,,,,,,0,,,,,0,,,,,,,,Spend 1 titanium to add 1 asteroid to ANY CARD.,#REF!
X16,Comet Aiming,2,2 Action,B,610,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,-1,asteroid,here,,,,,1,,1,,,,,1,,,,,,,,Spend 1 asteroid here to place an ocean tile.,#REF!
X17,Crash Site Cleanup,2,0 Immediate,A,611,X4 Pro/bigbox,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 titanium or 2 steel.,#REF!
X17,Crash Site Cleanup,2,0 Immediate,B,612,X4 Pro/bigbox,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 titanium or 2 steel.,#REF!
X18,Cutting Edge Technology,1,5 Effect/Discount,,613,X4 Pro/bigbox,play card,has requirement,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card with a requirement costs 2 M€ less.,#REF!
X19,Directed Impactors,2,2 Action,A,614,X4 Pro/bigbox,,,,,,,,,,,,-6,,,,,,,,,1,asteroid,any,,,,,,,0,,,,,0,,,,,,may use titanium,,Spend 6 M€ (titanium may be used) to add 1 asteroid to ANY CARD.,#REF!
X19,Directed Impactors,2,2 Action,B,615,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,-1,asteroid,here,,,,,,,0,1,,,,1,,,,,,,,Spend 1 asteroid here to raise temperature 1 step.,#REF!
X20,Diversity Support,1,0 Immediate,,616,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Raise your TR 1 step.,#REF!
X21,Field-Capped City,1,0 Immediate,,617,X4 Pro/bigbox,,,,,2,,,,1,,,,,,3,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,"Increase your M€ production 2 steps, and increase your energy production 1 step. Gain 3 plants, and place a city tile.",#REF!
X22,Imported Nutrients,1,0 Immediate,,618,X4 Pro/bigbox,,,,,,,,,,,,,,,4,,,,,,4,microbe,any,,,,,,,0,,,,,0,,,,,,,,"Gain 4 plants, and add 4 microbes to ANOTHER CARD.",#REF!
X23,Jovian Embassy,1,0 Immediate,,619,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Raise your TR 1 step.,#REF!
X24,Magnetic Shield,1,0 Immediate,,620,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,4,,,,,,,,Raise your TR 4 steps.,#REF!
X25,Meat Industry,1,4 Effect/Trigger,,621,X4 Pro/bigbox,animal,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you add an animal to any card, gain 2 M€.",#REF!
X26,Meltworks,1,2 Action,,622,X4 Pro/bigbox,,,,,,,,,,,,,3,,,,-5,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 5 heat to gain 3 steel.,#REF!
X27,Mohole Lake,3,0 Immediate,,623,X4 Pro/bigbox,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,1,1,,,,2,,,,,,,,Place an ocean tile. Raise temperature 1 step. Gain 3 plants.,#REF!
X27,Mohole Lake,3,2 Action,A,624,X4 Pro/bigbox,,,,,,,,,,,,,,,,,,,,,1,microbe,any,,,,,,,0,,,,,0,,,,,,,,Add a microbe to ANOTHER card.,#REF!
